Ownership,Board,Year of Establishment,Co-Ed Status,Campus Size,Campus Type,ac_classes,smart_classes,wifi,boys_hostel,girls_hostel,auditorium/media_room,cafeteria/canteen,library/reading_room,playground,cctv,gps_bus_tracking_app,student_tracking_app,alumni_association,day_care,meals,medical_room,transportation,art_and_craft,dance,debate,drama,gardening,music,picnics_and_excursion,skating,horse_riding,gym,indoor_sports,outdoor_sports,swimming_pool,karate,taekwondo,yoga,computer_lab,science_lab,robotics_lab,ramps,washrooms,elevators,hall_of_fame,gallery,address,email,website,phone_no,school_name,school_image,class_offered,sf_ratio
Private,CBSE,2001,Co-Education,0.4Acre,Urban,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,True,True,False,True,True,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Saraswati_Model_School_1666_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Saraswati_Model_School_1666_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Saraswati_Model_School_1666_Class_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Saraswati_Model_School_1666_Class_Room_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Saraswati_Model_School_1666_Classroom_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Saraswati_Model_School_1666_Event_2_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Saraswati_Model_School_1666_Event_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Saraswati_Model_School_1666_Lab_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Saraswati_Model_School_1666_Play_9.jpg']","Sector 10, Dwarka, South West Delhi, 110075",smsschooldwarka@gmail.com,http://www.saraswatimodelschooldwarka.com/index.php,"011-45614126,011-45614127",Saraswati Model School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 8,22:1
Private,CBSE,2004,Co-Education,2.65Acres,Rural,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,['Won6 times Best Boarding in Delhi / NCR by GQ Award'],"['https://images.uniapply.com/uploads/college/image/500/2188/Shanti_Gyan_International_School_1668_Building_1_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Shanti_Gyan_International_School_1668_Building_2_2.png', 'https://images.uniapply.com/uploads/college/image/500/2188/Shanti_Gyan_International_School_1668_Building_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Shanti_Gyan_International_School_1668_BasketBall_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Shanti_Gyan_International_School_1668_BollyBall_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Shanti_Gyan_International_School_1668_Art_Class_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Shanti_Gyan_International_School_1668_Class_Room_1_7.jpg']","Near Sector 19, Goyla, Dwarka, South West Delhi, 110071",info@sgis.in,www.sgis.in,8375829629,Shanti Gyan International Boarding School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Class 1 - Class 12,20:1
Private,CBSE,2006,Co-Education,8Acres,Urban,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Biology_Lab_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Chemistry_Lab_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Christmas_Celebration_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Class_Activity_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Computer_Lab_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Cricket_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_infrastructure_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Play_Area_2_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Play_Area_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Republic_Day_11.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_School_Visists_12.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Sports_Day_13.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/St_Thomas_School_1683_Swimming_Pool_14.jpg']","Near Sector 19, Goyla Vihar, Dwarka, South West Delhi, 110071",info@stthomasdwarka.com,http://www.stthomasdwarka.com,"8826479992,8826479990",St. Thomas' School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,16:1
PrivateAided,CBSE,2004,Co-Education,NA,Urban,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Building_UA_210210_193542.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Building_2_UA_210210_193547.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Transport_UA_210210_193829.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Play_Area_2_UA_210210_193958.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Classroom_2_UA_210210_193552.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Play_Area_UA_210210_194003.jpg']","Suraj Vihar, Dwarka More, Kakrola, South West Delhi, 110078",newaryapublicschool@gmail.com,www.newaryapublicschool.com,9716689419,New Arya Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,40:1
Private,CBSE,1986,Co-Education,1Acre,Urban,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Nav_Jeewan_Academy_Senior_Secondary_School_1647_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Nav_Jeewan_Academy_Senior_Secondary_School_1647_Event_1_1_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Nav_Jeewan_Academy_Senior_Secondary_School_1647_Event_2_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Nav_Jeewan_Academy_Senior_Secondary_School_1647_Lab_1_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Nav_Jeewan_Academy_Senior_Secondary_School_1647_Lab_2_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Nav_Jeewan_Academy_Senior_Secondary_School_1647_Students_6.jpg']","B-Block, Madhu Vihar, Sector 3, Dwarka, South West Delhi, 110059",navjeewanacademy@gmail.com,http://navjeewanacademy.org/,"011-25633535,011-25633877",Nav Jeewan Academy Senior Secondary School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,21:1
Private,CBSE,1993,Co-Education,0.16Acre,Urban,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,[],[],"D-40, Sanjay Enclave, Rajapuri Road, Uttam Nagar, West Delhi, 110045",gmps.uttamnagar@gmail.com,gmps.officialpage.info,9873680612,Great Mission Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Pre-Nursery - Class 8,20:1
Private,CBSE,2004,Co-Education,1.97Acres,Urban,False,True,True,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,False,False,True,True,False,False,True,True,True,True,False,True,False,True,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_Building_3_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_Building_2_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_Building_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_Auditorium_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_Class_Activity_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_Karate_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_School_Campus_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_School_Entrance_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_Sports_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Delhi_International_School_1708_Yoga_Day_10.jpg']","Sector 23, Dwarka, South West Delhi, 110078",info.dwarka@dis.ac.in,http://dis.ac.in/,"011-28052000,011-28052300",Delhi International School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,16:1
Private,CBSE,2006,Co-Education,2Acres,Urban,False,True,True,False,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Building_UA_210302_121818.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lab_UA_210302_121825.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Lab1_UA_210302_121830.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Classroom_UA_210302_121833.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Yoga_UA_210302_121838.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Library1_UA_210302_121841.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Library_UA_210302_121846.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Swimming_Pool_UA_210302_121850.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Activity_UA_210302_121855.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Art_and_craft_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Classroom_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Computer_lab_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Dance_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Ground_2_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Lab_1_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Playground_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Students_2_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Students_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Paramount_International_School_1757_Swimming_pool_11.jpg']","Sector 23, Dwarka, South West Delhi, 110077",info@paramountschool.in,https://paramountschool.in/,011-45572531,Paramount International School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,19:1
Private,CBSE,1992,Co-Education,1Acre,Urban,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,[],"['https://images.uniapply.com/uploads/college/image/500/2190/Students_2_UA_210417_164200.png', 'https://images.uniapply.com/uploads/college/image/500/2190/Students_3_UA_210417_164221.png', 'https://images.uniapply.com/uploads/college/image/500/2190/Students_UA_210417_164238.png']","D, Mohan Garden, Mohan Garden, Uttam Nagar, West Delhi, 110059",rubyglobal18@gmail.com,9711061605,,Ruby Global School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Pre-Nursery - Class 8,20:1
Private,CBSE,1997,Co-Education,1Acre,Urban,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,[],['https://images.uniapply.com/uploads/college/image/500/2190/Convent_Of_Gagan_Bharti_Senior_Secondary_School_1222_Building_1.jpg'],"K4 Block, Mohan Garden, Uttam Nagar, West Delhi, 110059",conventofgaganbharti@gmail.com,"011-25351188,011-25351199",,Convent Of Gagan Bharti Senior Secondary School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,27:1
Private,CBSE,NA,Co-Education,NA,Urban,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,[],['https://images.uniapply.com/uploads/college/image/500/2190/Science_Lab_UA_210219_180035.jpg'],"RZB-189&190, Janakpuri, West Delhi, 110059",http://www.stmichellpublicschool.org/,011-25616509,,St. Michell Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,25:1
Private,CBSE,2004,Co-Education,NA,Urban,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/Shokeen_International_School_1770_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Shokeen_International_School_1770_Campus_1_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Shokeen_International_School_1770_Gate_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/Shokeen_International_School_1770_Ground_4.jpg']","Dwarka Phase 2, Chhawla, South West Delhi, 110071",http://www.shokeeninternationalschool.com/cgi-sys/defaultwebpage.cgi,011-24524404,,Shokeen International School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 10,13:1
Private,CBSE,1989,Co-Education,5Acres,Urban,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,[],"['https://images.uniapply.com/uploads/college/image/500/2188/New_Era_Public_School_1650_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/New_Era_Public_School_1650_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/New_Era_Public_School_1650_Class_Activity_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/New_Era_Public_School_1650_Dance_1_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/New_Era_Public_School_1650_Dance_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/New_Era_Public_School_1650_Entry_Gate_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/New_Era_Public_School_1650_Play_Ground_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2188/New_Era_Public_School_1650_Racing_8.jpg']","Sector 24, Dwarka, South West Delhi, 110075",neweradwarka@gmail.com,https://www.nepsdwarka.com/,"9910119040,9810655010, 9871405155",New Era Public School,https://cdn.uniapply.com/assets/v1/d/images/main/spacer.71a50dbba44c.png,Nursery - Class 12,19:1
