Ownership,Board,Year of Establishment,Co-Ed Status,Campus Size,Campus Type,Class,Boarding,Infrastructure,Safety and Security,Advanced Facilities,Extra Curricular,Sports and Fitness,Lab,Disabled Friendly,hall_of_fame,gallery,address,email,website,phone_no,school_name
Private,CBSE,1986,Co-Education,4.01 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Debate', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Karate', 'Taekwondo', 'Yoga']","['Computer Lab', 'Science Lab']",['Ramps'],[],"['https://images.uniapply.com/uploads/college/image/500/2180/Titiksha_Public_School_1551_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Titiksha_Public_School_1551_Ground_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Titiksha_Public_School_1551_Kids_Play_area_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Titiksha_Public_School_1551_Play_ground_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Titiksha_Public_School_1551_Sports_5.jpg']","Sector 11, Rohini, North West Delhi, 110085",info@titikshapublicschool.com,http://www.titikshapublicschool.com/,"011-27572591,011-27570592",Titiksha Public School
Private,CBSE,1987,Co-Education,4.4 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],['Medical Room'],"['Art and Craft', 'Dance', 'Drama', 'Gardening', 'Music', 'Picnics and excursion']",['Outdoor Sports'],"['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/Jaspal_Kaur_Public_School_1565_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Jaspal_Kaur_Public_School_1565_event_1_1_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Jaspal_Kaur_Public_School_1565_Infrastructure_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Jaspal_Kaur_Public_School_1565_Music_1_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Jaspal_Kaur_Public_School_1565_Students_1_5.jpg']","B' Paschimi, Shalimar Bagh, North West Delhi, 110088",principal@jkps.org,http://www.jkps.org/,"011-27470022,011-27470055",Jaspal Kaur Public School
Private,CBSE,1981,Co-Education,3.9 Acres,Urban,"['AC Classes', 'Smart Classes', 'Wifi']",[],"['Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Alumni Association', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Gym', 'Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms', 'Elevators']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Band_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Achievers_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Art_and_Craft_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Cricket_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Foreign_Exchange_Students_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_International_Students_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Lamp_Lighting_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Music_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Science_Lab_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Sports_11.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Darbari_Lal_D_A_V_Model_School_Shalimar_Bagh_26_1427_Student_Council_12.jpg']","BN-Block, Shalimar Bagh, North West Delhi, 110088","info@dldavsb.org,reenarajpal@rediffmail.com",http://dldavsb.org,"011-27477634,011-27473634",Darbari Lal DAV Model School
Private,CBSE,1974,Co-Education,NA,NA,['Smart Classes'],[],"['Library/Reading Room', 'Playground']",[],[],"['Art and Craft', 'Dance', 'Music']",['Outdoor Sports'],"['Computer Lab', 'Science Lab']",[],[],['https://images.uniapply.com/uploads/college/image/500/2184/Building_UA_210501_160718.jpg'],"Bhatti Mines Road, Chhatarpur, South Delhi, 110074",sawanschooldelhi@gmail.com,http://www.sawanschooldelhi.com,"011-26654080,011-26654159",Bhavan's Sawan Public School
Private,NA,NA,Co-Education,NA,NA,[],[],['Library/Reading Room'],[],['Day care'],"['Art and Craft', 'Dance', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports']",['Computer Lab'],[],[],"['https://images.uniapply.com/uploads/college/image/500/2184/The_Waulden_School_1129_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Waulden_School_1129_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Waulden_School_1129_Dance_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Waulden_School_1129_Entrance_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/The_Waulden_School_1129_Indoor_activities_5.jpg']","A Block, Neeti Bagh, South Delhi, 110049","contact@thewauldenschool.com,thewaulden@yahoo.com",http://www.thewauldenschool.com,011-26855421,The Waulden School
Private,CBSE,1986,Co-Education,0.44 Acre,Urban,['Wifi'],[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Gardening', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']",['Washrooms'],[],"['https://images.uniapply.com/uploads/college/image/500/2184/Vidya_Niketan_Senior_Secondary_School_1111_Building3_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Vidya_Niketan_Senior_Secondary_School_1111_Building2_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Vidya_Niketan_Senior_Secondary_School_1111_Building_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Vidya_Niketan_Senior_Secondary_School_1111_Class_Room_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Vidya_Niketan_Senior_Secondary_School_1111_Entrance_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Vidya_Niketan_Senior_Secondary_School_1111_Event_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Vidya_Niketan_Senior_Secondary_School_1111_Examination_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Vidya_Niketan_Senior_Secondary_School_1111_Laboratory_8.jpg']","D-Block, Saket, South Delhi, 110017",vidyaniketan@hotmail.com,http://vidyaniketansaket.in/,"011-26851356,011-26569425,011-64530184",Vidya Niketan Senior Secondary School
Private,CBSE,1979,Co-Education,1.8 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']","['CCTV', 'GPS Bus Tracking App']","['Alumni Association', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Gardening', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms', 'Elevators']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Activity_1_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Activity_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Classroom_2_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Classroom_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Dance_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Fun_Activity_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Library_2_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Library_1_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Music_Room_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Science_Lab_11.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Science_Lab_12.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Goodley_Public_School_1445_Smart_Class_Room_13.jpg']","BD Block, Shalimar Bagh, North West Delhi, 110088",info@goodleypublicschool.in,http://www.goodleypublicschool.com/,"011-27471797,011-27475585,011-27475371",Goodley Public School
Private,CBSE,1952,Co-Education,2.35 Acres,NA,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/Nav_Bharti_Senior_Secondary_School_1497_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Nav_Bharti_Senior_Secondary_School_1497_Activity_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Nav_Bharti_Senior_Secondary_School_1497_Event_1_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Nav_Bharti_Senior_Secondary_School_1497_Sports_4.jpg']","Opposite Saraswati Vihar, Gate Number 1, Deepali, Pitampura, North West Delhi, 110034",nbsss52@gmail.com,http://www.navbhartischool.edu.in/index.html,"011-23654504,011-23654929",Nav Bharti Senior Secondary School
Private,CBSE,1980,Co-Education,7.2 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Dance', 'Music']","['Indoor Sports', 'Outdoor Sports']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms', 'Elevators']",[],"['https://images.uniapply.com/uploads/college/image/500/2184/Gyan_Bharati_School_1116_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Gyan_Bharati_School_1116_Activity_Room_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Gyan_Bharati_School_1116_Annual_Function_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Gyan_Bharati_School_1116_Independence_Day_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Gyan_Bharati_School_1116_Night_Camp_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Gyan_Bharati_School_1116_Primary_Classroom_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Gyan_Bharati_School_1116_Sports_Day_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Gyan_Bharati_School_1116_Toddlers_8.jpg']","D-Block, Saket, South Delhi, 110017",gyanbharati@gmail.com,http://www.gyanbharatischool.net/,"011-47056430,011-46586284",Gyan Bharati School
Private,CBSE,1991,Co-Education,2.64 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Yoga']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",[],"['https://images.uniapply.com/uploads/college/image/500/2180/St_Vivekanand_Senior_Secondary_School_1544_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/St_Vivekanand_Senior_Secondary_School_1544_Cultural_Programme_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/St_Vivekanand_Senior_Secondary_School_1544_Class_Activity_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/St_Vivekanand_Senior_Secondary_School_1544_School_Entrance_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/St_Vivekanand_Senior_Secondary_School_1544_Sports_Day_5.jpg']","Qutab Garh Road, Ladpur, North West Delhi, 110081",stvivekanandschool@gmail.com,http://stvivekanandschool.org/Default.aspx?Cid=HOM170,"011-25951777,011-25953509",St. Vivekanand Senior Secondary School
Private,CBSE,1980,Co-Education,1.5 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Auditorium/Media Room', 'Library/Reading Room', 'Playground']",['CCTV'],"['Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Karate', 'Yoga']","['Computer Lab', 'Science Lab']",['Ramps'],[],"['https://images.uniapply.com/uploads/college/image/500/2184/Red_Roses_Public_School_1101_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Red_Roses_Public_School_1101_Chemistry_Lab_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Red_Roses_Public_School_1101_Computer_Lab_3.png', 'https://images.uniapply.com/uploads/college/image/500/2184/Red_Roses_Public_School_1101_Girls_Sports_Team_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Red_Roses_Public_School_1101_Independence_Day_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Red_Roses_Public_School_1101_Physics_Lab_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Red_Roses_Public_School_1101_Science_Exhibition_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Red_Roses_Public_School_1101_Student_Health_Camp_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2184/Red_Roses_Public_School_1101_Students_9.jpg']","Arya Samaj Mandir, Pramod Mahajan Marg, D Block, Saket, South Delhi, 110017",principalrrpssaket@gmail.com,http://www.redrosesschool.in/Saket/Default.aspx,"011-46508577,011-41682977",Red Roses Public School
Private,CBSE,1977,Co-Education,4 Acres,Urban,"['Smart Classes', 'Wifi']",[],"['Auditorium/Media Room', 'Cafeteria/Canteen', 'Library/Reading Room', 'Playground']",['CCTV'],"['Alumni Association', 'Medical Room', 'Transportation']","['Art and Craft', 'Dance', 'Drama', 'Music', 'Picnics and excursion']","['Indoor Sports', 'Outdoor Sports', 'Taekwondo', 'Yoga']","['Computer Lab', 'Science Lab']","['Ramps', 'Washrooms']",['BritishCouncil international School award 2018-2'],"['https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Building_1.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Biology_Lab_2.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Activity_3.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Art_Room_4.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Computer_Lab_5.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Dance_6.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_E-_Learning_7.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Event_8.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Ground_9.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Music_Room_10.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Play_Ground_11.jpg', 'https://images.uniapply.com/uploads/college/image/500/2180/Mata_Jai_Kaur_Public_School_1483_Sports_12.jpg']","Phase 3, Ashok Vihar, North West Delhi, 110052",mjkps@hotmail.com,https://www.mjkpsdelhi.com/,"011-27244590,011-27221674,011-65659300",Mata Jai Kaur Public School
